Time,Open,High,Low,Close,Volume
2011.03.23,0.83,0.9,0.83,0.87,14009
2011.03.24,0.87,0.89,0.86,0.88,4819
2011.03.25,0.88,0.91,0.84,0.86,11756
2011.03.26,0.83,0.87,0.82,0.82,5337
2011.03.27,0.82,0.85,0.76,0.8,12565
2011.03.28,0.8,0.8,0.77,0.79,4215
2011.03.29,0.79,0.8,0.77,0.79,3218
2011.03.30,0.79,0.8,0.77,0.79,6875
2011.03.31,0.79,0.8,0.77,0.77,3186
2011.04.01,0.77,0.8,0.77,0.78,2493
2011.04.02,0.78,0.8,0.78,0.78,3931
2011.04.03,0.78,0.79,0.56,0.68,31155
2011.04.04,0.68,0.75,0.58,0.71,9730
2011.04.05,0.71,0.75,0.69,0.74,8703
2011.04.06,0.74,0.79,0.72,0.75,10832
2011.04.07,0.75,0.8,0.73,0.75,18207
2011.04.08,0.75,0.77,0.72,0.73,12119
2011.04.09,0.73,0.76,0.71,0.74,5348
2011.04.10,0.74,0.8,0.71,0.77,14645
2011.04.11,0.77,0.9,0.77,0.86,48417
2011.04.12,0.86,1,0.86,0.92,43397
2011.04.13,0.92,1,0.91,1,31111
2011.04.14,1,1.09,0.91,0.99,50304
2011.04.15,0.98,1.1,0.95,1.05,28869
2011.04.16,1.05,1.14,1.03,1.11,24225
2011.04.17,1.11,1.2,1.11,1.16,27478
2011.04.18,1.16,1.2,1.14,1.2,12556
2011.04.19,1.18,1.2,1.13,1.14,21344
2011.04.20,1.14,1.21,1.14,1.21,39295
2011.04.21,1.21,1.41,1.19,1.41,39415
2011.04.22,1.39,1.95,1.32,1.7,66620
2011.04.23,1.7,1.95,1.6,1.63,21541
2011.04.24,1.63,1.7,1.52,1.56,13471
2011.04.25,1.56,1.8,1.53,1.8,24054
2011.04.26,1.78,1.95,1.72,1.9,33055
2011.04.27,1.89,2.65,1.66,2.21,100238
2011.04.28,2.21,2.95,2.21,2.88,57577
2011.04.29,2.88,4.15,2.75,3.5,65427
2011.04.30,3.5,3.87,2.5,3.03,45772
2011.05.01,3.03,3.5,3.03,3.2,18333
2011.05.02,3.2,3.49,3.11,3.41,16919
2011.05.03,3.41,3.58,3.25,3.41,17278
2011.05.04,3.4,3.45,3.33,3.33,15350
2011.05.05,3.33,3.61,3.29,3.45,23014
2011.05.06,3.45,3.7,3.43,3.64,17833
2011.05.07,3.64,3.94,3.63,3.87,21132
2011.05.08,3.87,3.9,3.69,3.8,11520
2011.05.09,3.8,5.99,3.8,5.81,56217
2011.05.10,5.75,6.07,4.6,5.5,52569
2011.05.11,5.49,6.49,5.22,6.3,31722
2011.05.12,6.3,8.45,6.3,8.2,64003
2011.05.13,8.12,8.9,5.83,7.2,55390
2011.05.14,7,7.78,6.2,6.99,18294
2011.05.15,6.99,8.5,6.75,8.03,44141
2011.05.16,7.9,8.39,6.98,7.19,35345
2011.05.17,7.19,7.5,6.6,6.88,25403
2011.05.18,6.7,7.34,6.61,6.81,24436
2011.05.19,6.81,7.1,5.58,5.59,44460
2011.05.20,5.59,6.52,5.58,6.12,31111
2011.05.21,6.12,6.76,5.99,6.69,23872
2011.05.22,6.69,7.45,6.69,7.15,35279
2011.05.23,7.15,7.51,6.96,7.42,29282
2011.05.24,7.42,9.33,7.22,8.4,64049
2011.05.25,8.25,8.99,8.01,8.8,28644
2011.05.26,8.7,8.83,8.5,8.5,14431
2011.05.27,8.5,8.7,8.11,8.3,12247
2011.05.28,8.3,8.49,8.1,8.43,7487
2011.05.29,8.43,9,8.25,8.8,17680
2011.05.30,8.8,9.5,8.1,8.74,45794
2011.05.31,8.74,9.7,8.3,9.57,43479
2011.06.01,9.57,10.89,9.5,10.6,41047
2011.06.02,10.6,14.5,10.58,14.29,72980
2011.06.03,14.27,18.89,14.04,18.89,44475
2011.06.04,18.89,19,16.2,16.7,24278
2011.06.05,16.7,19.23,16.45,18.55,55092
2011.06.06,18.26,24.32,18.26,23.92,53715
2011.06.07,23.92,31.91,22.21,29.6,104925
2011.06.08,29.6,31.5,26.15,28.92,62933
2011.06.09,28.92,29.4,20.01,23.95,92208
2011.06.10,23.93,23.99,13,14.65,121869
2011.06.11,14.65,24.99,10.25,18.55,151194
2011.06.12,18.55,24.5,16,19.84,73421
2011.06.13,19.8,20.5,18,19.28,36155
2011.06.14,19.28,20,19.02,19.49,27711
2011.06.15,19.49,19.89,17,17,49202
2011.06.16,17,18.34,13,15.68,108623
2011.06.17,15.68,16.95,15.05,16.89,35536
2011.06.18,16.85,18.88,16.85,17.51,30176
2011.06.25,17.51,17.51,14.01,16.45,15053
2011.06.26,16.45,18,15,16.75,31452
2011.06.27,16.75,17.52,16.5,16.95,24398
2011.06.28,16.95,17.2,16.67,16.85,21043
2011.06.29,16.85,17,15.73,16.1,34961
2011.06.30,16.1,16.74,15.26,15.4,33284
2011.07.01,15.37,15.8,15.27,15.4,19453
2011.07.02,15.4,15.69,15.31,15.44,16792
2011.07.03,15.44,15.49,13.14,13.86,52276
2011.07.04,13.86,15,11,12.91,84081
2011.07.05,12.91,16.5,12.67,14.78,111818
2011.07.06,14.78,15.9,14.5,14.78,54465
2011.07.07,14.78,15.64,13.9,14.31,34853
2011.07.08,14.31,14.7,14.02,14.38,11909
2011.07.09,14.38,15.68,14.35,14.9,45284
2011.07.10,14.9,15.2,13.8,14.21,49160
2011.07.11,14.21,14.64,13.9,14.01,26356
2011.07.12,14.03,14.15,13.91,13.95,10338
2011.07.13,13.95,14.07,13.7,13.99,17661
2011.07.14,14,14.09,13.5,13.81,24819
2011.07.15,13.81,13.81,13.5,13.72,17264
2011.07.16,13.72,13.75,13.02,13.16,34375
2011.07.17,13.16,13.92,12.51,13.48,75896
2011.07.18,13.48,14.7,13.44,13.85,67575
2011.07.19,13.85,14,13.4,13.69,23177
2011.07.20,13.72,13.78,13.4,13.61,25018
2011.07.21,13.61,13.81,13.45,13.7,15165
2011.07.22,13.7,13.76,13.51,13.68,22455
2011.07.23,13.69,14.1,13.6,13.98,26623
2011.07.24,13.98,14.72,13.76,14.05,31577
2011.07.25,14.03,14.05,13.77,13.88,16793
2011.07.26,13.88,14.13,13.85,13.94,11508
2011.07.27,13.89,13.94,13.31,13.49,32738
2011.07.28,13.49,13.7,13.33,13.5,7257
2011.07.29,13.5,13.63,13.45,13.53,6104
2011.07.30,13.53,14.9,12.83,13.35,45723
2011.07.31,13.35,13.55,12.85,13.09,21748
2011.08.01,13.1,13.1,11.5,12.05,57242
2011.08.02,12.05,12.16,8.7,9.26,90287
2011.08.03,9.26,11.15,9.26,10.75,50094
2011.08.04,10.71,10.99,9.5,9.8,30765
2011.08.05,9.74,9.95,5.74,6.55,102411
2011.08.06,6.53,9.47,6.01,7.9,89830
2011.08.07,7.9,8.16,7.06,7.8,34042
2011.08.08,7.8,12.1,7.67,9.99,114472
2011.08.09,9.99,10.4,9.5,9.98,24254
2011.08.10,9.98,10.5,8.45,9.46,58114
