Time,Open,High,Low,Close,Volume
2014.02.13 09:00:00,48200,48280,48160,48230,4271
2014.02.13 09:15:00,48220,48250,48140,48225,3781
2014.02.13 09:30:00,48230,48235,48160,48195,2224
2014.02.13 09:45:00,48195,48250,48175,48210,2332
2014.02.13 10:00:00,48215,48215,48025,48140,11375
2014.02.13 10:15:00,48145,48195,48075,48155,4393
2014.02.13 10:30:00,48145,48175,47850,47880,13909
2014.02.13 10:45:00,47880,47935,47775,47900,11039
2014.02.13 11:00:00,47900,47915,47625,47680,11674
2014.02.13 11:15:00,47680,47775,47650,47735,5310
2014.02.13 11:30:00,47755,47795,47635,47760,9019
2014.02.13 11:45:00,47760,47810,47695,47775,4501
2014.02.13 12:00:00,47775,47820,47700,47705,5897
2014.02.13 12:15:00,47700,47840,47700,47755,4901
2014.02.13 12:30:00,47750,47895,47720,47810,9777
2014.02.13 12:45:00,47805,47835,47665,47830,8444
2014.02.13 13:00:00,47830,47920,47815,47815,5009
2014.02.13 13:15:00,47825,47970,47815,47955,7490
2014.02.13 13:30:00,47950,47980,47865,47915,6321
2014.02.13 13:45:00,47915,47995,47850,47995,7752
2014.02.13 14:00:00,47995,48040,47940,47990,5421
2014.02.13 14:15:00,47990,48110,47980,48010,8130
2014.02.13 14:30:00,48010,48085,47940,48025,6346
2014.02.13 14:45:00,48030,48040,47865,47920,7996
2014.02.13 15:00:00,47920,47925,47825,47845,5781
2014.02.13 15:15:00,47840,47955,47830,47910,5599
2014.02.13 15:30:00,47915,48045,47885,48000,6650
2014.02.13 15:45:00,48005,48135,47990,48055,8330
2014.02.13 16:00:00,48050,48140,48030,48070,5438
2014.02.13 16:15:00,48070,48315,48045,48305,10226
2014.02.13 16:30:00,48305,48405,48220,48380,11174
2014.02.13 16:45:00,48380,48460,48330,48410,6889
2014.02.13 17:00:00,48405,48540,48355,48505,7611
2014.02.13 17:15:00,48510,48540,48430,48445,4601
2014.02.13 17:30:00,48445,48500,48410,48495,2576
2014.02.13 17:45:00,48485,48680,48470,48680,3300
2014.02.14 09:00:00,48470,48630,48445,48555,3139
2014.02.14 09:15:00,48550,48595,48535,48570,1510
2014.02.14 09:30:00,48570,48675,48535,48650,2998
2014.02.14 09:45:00,48655,48760,48650,48660,4084
2014.02.14 10:00:00,48665,48835,48645,48665,7534
2014.02.14 10:15:00,48670,48730,48610,48630,5269
2014.02.14 10:30:00,48630,48685,48580,48630,5046
2014.02.14 10:45:00,48630,48670,48515,48525,5970
2014.02.14 11:00:00,48530,48590,48420,48465,9148
2014.02.14 11:15:00,48460,48485,48355,48470,7984
2014.02.14 11:30:00,48465,48535,48445,48510,4810
2014.02.14 11:45:00,48510,48555,48400,48420,6693
2014.02.14 12:00:00,48415,48545,48405,48525,3964
2014.02.14 12:15:00,48525,48530,48300,48435,11262
2014.02.14 12:30:00,48435,48455,48275,48305,11292
2014.02.14 12:45:00,48305,48445,48265,48420,7389
2014.02.14 13:00:00,48425,48620,48360,48560,13098
2014.02.14 13:15:00,48550,48820,48520,48765,12501
2014.02.14 13:30:00,48765,48870,48755,48840,8266
2014.02.14 13:45:00,48840,48925,48730,48750,9418
2014.02.14 14:00:00,48750,48780,48625,48700,9945
2014.02.14 14:15:00,48705,48805,48660,48755,6209
2014.02.14 14:30:00,48750,48860,48750,48820,6042
2014.02.14 14:45:00,48820,48825,48695,48710,3934
2014.02.14 15:00:00,48710,48830,48710,48810,2384
2014.02.14 15:15:00,48820,48890,48785,48795,4539
2014.02.14 15:30:00,48800,48835,48640,48800,8169
2014.02.14 15:45:00,48805,48820,48720,48755,4720
2014.02.14 16:00:00,48755,48815,48705,48735,3210
2014.02.14 16:15:00,48740,48820,48710,48790,4146
